과목명,교수,전공,학년,학수번호,강의실,요일,강의시간
화공양론, 주지봉," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",2,BBQA59272,공A204,목,01-03
화공양론, 주지봉," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",2,BBQA59272,공D233,월,01-03
화공양론, 주지봉," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",2,BBQA59272,공D233,수,04-06
화학공장설계, 유용호," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",4,BBQA59275,공A204,수,13-15
화학공장설계, 유용호," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",4,BBQA59275,공A204,목,10-12
고분자화학1, 고준석," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",3,BBQA59277,공D232,월,04-06
고분자화학1, 고준석," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",3,BBQA59277,공D232,수,01-03
고분자화학1, 김세현," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",3,BBQA59277,공D232,월,13-15
고분자화학1, 김세현," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",3,BBQA59277,공D232,수,13-15
고분자화학1, 김세현," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",3,BBQA59277,공D232,월,16-18
고분자화학1, 김세현," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",3,BBQA59277,공D232,수,16-18
물리화학1, 김봉기," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",2,BBQA59284,공D231,월,13-15
물리화학1, 김봉기," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",2,BBQA59284,공D231,수,13-15
물리화학1, 문두경," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",2,BBQA59284,공D231,화,01-03
물리화학1, 문두경," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",2,BBQA59284,공D231,목,04-06
물리화학1, 민요셉," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",2,BBQA59284,공C_B182,월,04-06
물리화학1, 민요셉," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",2,BBQA59284,공C_B182,수,01-03
물리화학1, 이위형," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",2,BBQA59284,공B555,월,04-06
물리화학1, 이위형," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",2,BBQA59284,공B555,수,01-03
물리화학1, 이위형," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",2,BBQA59284,공B555,월,13-15
물리화학1, 이위형," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",2,BBQA59284,공B555,수,13-15
나노과학, 최명석," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",3,BBQA59290,공B555,화,10-12
